,State Name,State_Names,latitude,longitude,size
1,ANDAMAN AND NICOBAR    ,Andaman And Nicobar    ,11.66702557,92.73598262,116
2,ANDHRA PRADESH     ,Andhra Pradesh     ,14.7504291,78.57002559,16934
3,ARUNACHAL PRADESH    ,Arunachal Pradesh    ,27.10039878,93.61660071,252
4,ASSAM    ,Assam    ,26.7499809,94.21666744,9673
5,BIHAR    ,Bihar    ,25.78541445,87.4799727,10954
6,CHANDIGARH    ,Chandigarh    ,30.71999697,76.78000565,457
7,CHHATTISGARH    ,Chhattisgarh    ,22.09042035,82.15998734,3065
8,DADRA AND NAGAR HAVELI     ,Dadra And Nagar Haveli     ,20.26657819,73.0166178,257
9,DELHI    ,Delhi    ,28.6699929,77.23000403,94695
10,GOA    ,Goa    ,15.491997,73.81800065,1482
11,HARYANA     ,Haryana     ,28.45000633,77.01999101,16003
12,HIMACHAL PRADESH    ,Himachal Pradesh    ,31.10002545,77.16659704,1033
13,JAMMU AND KASHMIR    ,Jammu and Kashmir    ,34.29995933,74.46665849,8019
14,JHARKHAND    ,Jharkhand    ,23.80039349,86.41998572,2695
15,KARNATAKA     ,Karnataka     ,12.57038129,76.91999711,19710
16,KERALA    ,Kerala    ,8.900372741,76.56999263,4964
18,MADHYA PRADESH    ,Madhya Pradesh    ,21.30039105,76.13001949,14297
19,MAHARASHTRA     ,Maharashtra     ,19.25023195,73.16017493,192990
20,MANIPUR    ,Manipur    ,24.79997072,93.95001705,1316
21,MEGHALAYA    ,Meghalaya    ,25.57049217,91.8800142,62
22,MIZORAM    ,Mizoram    ,23.71039899,92.72001461,162
23,NAGALAND    ,Nagaland    ,25.6669979,94.11657019,539
24,Odisha    ,Odisha    ,19.82042971,85.90001746,8106
25,PUDUCHERRY    ,Puducherry    ,11.93499371,79.83000037,802
26,PUNJAB    ,Punjab    ,31.51997398,75.98000281,5937
27,RAJASTHAN     ,Rajasthan     ,26.44999921,74.63998124,19052
28,SIKKIM    ,Sikkim    ,27.3333303,88.6166475,102
29,TAMIL NADU     ,Tamil Nadu     ,12.92038576,79.15004187,102721
30,TRIPURA    ,Tripura    ,23.83540428,91.27999914,1525
31,UTTAR PRADESH    ,Uttar Pradesh    ,27.59998069,78.05000565,25797
32,Uttarakhand    ,Uttarakhand    ,30.32040895,78.05000565,3048
33,WEST BENGAL     ,West Bengal     ,22.58039044,88.32994665,20488
34,GUJARAT,Gujarat,22.309425,72.136230,34600
35,Telangana,Telangana,17.123184,	79.208824,20462
36, Ladakh,Ladakh,34.13194,77.478756,1001
