Location,,,LAT,,,LON
Adirampattinam,10,21,10.210000 ,79 ,25 ,79.250000 
Ambasamudram,8,43,8.430000 ,77 ,29 ,77.290000 
Ambur,21,50,21.500000 ,78 ,45 ,78.450000 
Anaimalai Hills,10,24,10.240000 ,76 ,40 ,76.400000 
Arakkonam,13,5,13.050000 ,79 ,43 ,79.430000 
Arantangi,10,10,10.100000 ,79 ,2 ,79.020000 
Arcot,12,56,12.560000 ,79 ,24 ,79.240000 
Arni,12,40,12.400000 ,79 ,19 ,79.190000 
Aruppukkotai,9,31,9.310000 ,78 ,8 ,78.080000 
Attur,11,36,11.360000 ,78 ,39 ,78.390000 
Bodinayakkanur,10,1,10.010000 ,77 ,24 ,77.240000 
"Calimere, Point",10,18,10.180000 ,79 ,52 ,79.520000 
Carnatic,12,0,12.000000 ,80 ,0 ,80.000000 
Chidambaram,11,24,11.240000 ,79 ,44 ,79.440000 
Chingleput,12,42,12.420000 ,80 ,1 ,80.010000 
"Comorin, C.",8,4,8.040000 ,77 ,36 ,77.360000 
Coromandel Coast,12,0,12.000000 ,80 ,30 ,80.300000 
Devakottai,9,57,9.570000 ,78 ,53 ,78.530000 
Dhanushkodi,9,10,9.100000 ,79 ,28 ,79.280000 
Dharapuram,10,45,10.450000 ,77 ,34 ,77.340000 
Dharmapuri,12,8,12.080000 ,78 ,13 ,78.130000 
Dodabetta. Mt.,11,25,11.250000 ,76 ,46 ,76.460000 
Ennore,13,14,13.140000 ,80 ,22 ,80.220000 
Erode,11,20,11.200000 ,77 ,46 ,77.460000 
Fort St David,11,45,11.450000 ,79 ,50 ,79.500000 
Fort St George,13,4,13.040000 ,80 ,17 ,80.170000 
Gudiyatam,12,57,12.570000 ,78 ,55 ,78.550000 
Hospur,12,44,12.440000 ,77 ,52 ,77.520000 
Jalarpet,12,34,12.340000 ,78 ,37 ,78.370000 
Javadi hills,12,40,12.400000 ,78 ,40 ,78.400000 
Kanchipuram,12,50,12.500000 ,79 ,45 ,79.450000 
Kaveri R.,11,20,11.200000 ,77 ,50 ,77.500000 
Kayalpatnam,8,34,8.340000 ,78 ,10 ,78.100000 
Kilakarai,9,14,9.140000 ,78 ,50 ,78.500000 
Kodaikanal,10,13,10.130000 ,77 ,32 ,77.320000 
Krishnagiri,12,32,12.320000 ,78 ,16 ,78.160000 
Madurantakam,12,30,12.300000 ,79 ,56 ,79.560000 
Mahabalipuram,12,37,12.370000 ,80 ,14 ,80.140000 
Mannargudi,10,40,10.400000 ,79 ,29 ,79.290000 
Mayuram,11,6,11.060000 ,79 ,42 ,79.420000 
Mettupalaiyam,11,18,11.180000 ,76 ,59 ,76.590000 
Mettur Dam,11,52,11.520000 ,77 ,50 ,77.500000 
Nagarjunasagar Dam,16,50,16.500000 ,79 ,20 ,79.200000 
Namakkal,11,13,11.130000 ,78 ,13 ,78.130000 
Nanguneri,8,29,8.290000 ,77 ,44 ,77.440000 
